StockExchange,Identifier
NSE,ABB
NSE,ACC
NSE,ADANIPORTS
NSE,AMBUJACEM
NSE,ASHOKLEY
NSE,ASIANPAINT
NSE,AUROPHARMA
NSE,DMART
NSE,AXISBANK
NSE,BAJAJ-AUTO
NSE,BAJFINANCE
NSE,BAJAJFINSV
NSE,BANKBARODA
NSE,BEL
NSE,BHEL
NSE,BPCL
NSE,BHARTIARTL
NSE,INFRATEL
NSE,BOSCHLTD
NSE,BRITANNIA
NSE,CADILAHC
NSE,CIPLA
NSE,COALINDIA
NSE,COLPAL
NSE,CONCOR
NSE,CUMMINSIND
NSE,DLF
NSE,DABUR
NSE,DRREDDY
NSE,EICHERMOT
NSE,EMAMILTD
NSE,GAIL
NSE,GSKCONS
NSE,GLAXO
NSE,GLENMARK
NSE,GODREJCP
NSE,HCLTECH
NSE,HDFCBANK
NSE,HAVELLS
NSE,HEROMOTOCO
NSE,HINDALCO
NSE,HINDPETRO
NSE,HINDUNILVR
NSE,HINDZINC
NSE,HDFC
NSE,ITC
NSE,ICICIBANK
NSE,ICICIPRULI
NSE,IDEA
NSE,IBULHSGFIN
NSE,IOC
NSE,INDUSINDBK
NSE,INFY
NSE,INDIGO
NSE,JSWSTEEL
NSE,KOTAKBANK
NSE,LICHSGFIN
NSE,LT
NSE,LUPIN
NSE,MRF
NSE,M&M
NSE,MARICO
NSE,MARUTI
NSE,MOTHERSUMI
NSE,NHPC
NSE,NMDC
NSE,NTPC
NSE,ONGC
NSE,OIL
NSE,OFSS
NSE,PETRONET
NSE,PIDILITIND
NSE,PEL
NSE,PFC
NSE,POWERGRID
NSE,PGHH
NSE,PNB
NSE,RELIANCE
NSE,RECLTD
NSE,SHREECEM
NSE,SRTRANSFIN
NSE,SIEMENS
NSE,SBIN
NSE,SAIL
NSE,SUNPHARMA
NSE,SUNTV
NSE,TCS
NSE,TATAMTRDVR
NSE,TATAMOTORS
NSE,TATAPOWER
NSE,TATASTEEL
NSE,TECHM
NSE,TITAN
NSE,TORNTPHARM
NSE,UPL
NSE,ULTRACEMCO
NSE,MCDOWELL-N
NSE,VEDL
NSE,WIPRO
NSE,YESBANK
NSE,ZEEL
