StockExchange,Identifier
NYSE,MMM
NYSE,ABT
NYSE,ABBV
NYSE,ACN
NASDAQ,ATVI
NYSE,AYI
NASDAQ,ADBE
NASDAQ,AMD
NYSE,AAP
NYSE,AES
NYSE,AET
NYSE,AMG
NYSE,AFL
NYSE,A
NYSE,APD
NASDAQ,AKAM
NYSE,ALK
NYSE,ALB
NYSE,ARE
NASDAQ,ALXN
NASDAQ,ALGN
NYSE,ALLE
NYSE,AGN
NYSE,ADS
NYSE,LNT
NYSE,ALL
NASDAQ,GOOGL
NASDAQ,GOOG
NYSE,MO
NASDAQ,AMZN
NYSE,AEE
NASDAQ,AAL
NYSE,AEP
NYSE,AXP
NYSE,AIG
NYSE,AMT
NYSE,AWK
NYSE,AMP
NYSE,ABC
NYSE,AME
NASDAQ,AMGN
NYSE,APH
NYSE,APC
NASDAQ,ADI
NYSE,ANDV
NASDAQ,ANSS
NYSE,ANTM
NYSE,AON
NYSE,AOS
NYSE,APA
NYSE,AIV
NASDAQ,AAPL
NASDAQ,AMAT
NYSE,APTV
NYSE,ADM
NYSE,ARNC
NYSE,AJG
NYSE,AIZ
NYSE,T
NASDAQ,ADSK
NASDAQ,ADP
NYSE,AZO
NYSE,AVB
NYSE,AVY
NYSE,BHGE
NYSE,BLL
NYSE,BAC
NYSE,BK
NYSE,BAX
NYSE,BBT
NYSE,BDX
NYSE,BRK.B
NYSE,BBY
NASDAQ,BIIB
NYSE,BLK
NYSE,HRB
NYSE,BA
NYSE,BWA
NYSE,BXP
NYSE,BSX
NYSE,BHF
NYSE,BMY
NASDAQ,AVGO
NYSE,BF.B
NASDAQ,CHRW
NASDAQ,CA
NYSE,COG
NASDAQ,CDNS
NYSE,CPB
NYSE,COF
NYSE,CAH
NASDAQ,CBOE
NYSE,KMX
NYSE,CCL
NYSE,CAT
NYSE,CBG
NYSE,CBS
NASDAQ,CELG
NYSE,CNC
NYSE,CNP
NYSE,CTL
NASDAQ,CERN
NYSE,CF
NYSE,SCHW
NASDAQ,CHTR
NYSE,CHK
NYSE,CVX
NYSE,CMG
NYSE,CB
NYSE,CHD
NYSE,CI
NYSE,XEC
NASDAQ,CINF
NASDAQ,CTAS
NASDAQ,CSCO
NYSE,C
NYSE,CFG
NASDAQ,CTXS
NYSE,CLX
NASDAQ,CME
NYSE,CMS
NYSE,KO
NASDAQ,CTSH
NYSE,CL
NASDAQ,CMCSA
NYSE,CMA
NYSE,CAG
NYSE,CXO
NYSE,COP
NYSE,ED
NYSE,STZ
NYSE,COO
NYSE,GLW
NASDAQ,COST
NYSE,COTY
NYSE,CCI
NYSE,CSRA
NASDAQ,CSX
NYSE,CMI
NYSE,CVS
NYSE,DHI
NYSE,DHR
NYSE,DRI
NYSE,DVA
NYSE,DE
NYSE,DAL
NASDAQ,XRAY
NYSE,DVN
NYSE,DLR
NYSE,DFS
NASDAQ,DISCA
NASDAQ,DISCK
NASDAQ,DISH
NYSE,DG
