StockExchange,Identifier
NASDAQ,AAL
NASDAQ,AAPL
NASDAQ,ADBE
NASDAQ,ADI
NASDAQ,ADP
NASDAQ,ADSK
NASDAQ,ALGN
NASDAQ,ALXN
NASDAQ,AMAT
NASDAQ,AMD
NASDAQ,AMGN
NASDAQ,AMZN
NASDAQ,ASML
NASDAQ,ATVI
NASDAQ,AVGO
NASDAQ,BIDU
NASDAQ,BIIB
NASDAQ,BKNG
NASDAQ,BMRN
NASDAQ,CDNS
NASDAQ,CELG
NASDAQ,CERN
NASDAQ,CHKP
NASDAQ,CHTR
NASDAQ,CMCSA
NASDAQ,COST
NASDAQ,CSCO
NASDAQ,CSX
NASDAQ,CTAS
NASDAQ,CTRP
NASDAQ,CTSH
NASDAQ,CTXS
NASDAQ,DLTR
NASDAQ,EA
NASDAQ,EBAY
NASDAQ,EXPE
NASDAQ,FAST
NASDAQ,FB
NASDAQ,FISV
NASDAQ,FOX
NASDAQ,FOXA
NASDAQ,GILD
NASDAQ,GOOG
NASDAQ,GOOGL
NASDAQ,HAS
NASDAQ,HSIC
NASDAQ,IDXX
NASDAQ,ILMN
NASDAQ,INCY
NASDAQ,INTC
NASDAQ,INTU
NASDAQ,ISRG
NASDAQ,JBHT
NASDAQ,JD
NASDAQ,KHC
NASDAQ,KLAC
NASDAQ,LBTYA
NASDAQ,LBTYK
NASDAQ,LRCX
NASDAQ,LULU
NASDAQ,MAR
NASDAQ,MCHP
NASDAQ,MDLZ
NASDAQ,MELI
NASDAQ,MNST
NASDAQ,MSFT
NASDAQ,MU
NASDAQ,MXIM
NASDAQ,MYL
NASDAQ,NFLX
NASDAQ,NTAP
NASDAQ,NTES
NASDAQ,NVDA
NASDAQ,NXPI
NASDAQ,ORLY
NASDAQ,PAYX
NASDAQ,PCAR
NASDAQ,PEP
NASDAQ,PYPL
NASDAQ,QCOM
NASDAQ,REGN
NASDAQ,ROST
NASDAQ,SBUX
NASDAQ,SIRI
NASDAQ,SNPS
NASDAQ,SWKS
NASDAQ,SYMC
NASDAQ,TMUS
NASDAQ,TSLA
NASDAQ,TTWO
NASDAQ,TXN
NASDAQ,UAL
NASDAQ,ULTA
NASDAQ,VRSK
NASDAQ,VRSN
NASDAQ,VRTX
NASDAQ,WBA
NASDAQ,WDAY
NASDAQ,WDC
NASDAQ,WLTW
NASDAQ,WYNN
NASDAQ,XEL
NASDAQ,XLNX
