StockExchange,Identifier
NSE,ABB
NSE,ABCAPITAL
NSE,ACC
NSE,ADANIPORTS
NSE,AMBUJACEM
NSE,ASHOKLEY
NSE,ASIANPAINT
NSE,AUROPHARMA
NSE,AXISBANK
NSE,BAJAJ-AUTO
NSE,BAJAJFINSV
NSE,BAJFINANCE
NSE,BANDHANBNK
NSE,BANKBARODA
NSE,BEL
NSE,BHARTIARTL
NSE,BHEL
NSE,BIOCON
NSE,BOSCHLTD
NSE,BPCL
NSE,BRITANNIA
NSE,CADILAHC
NSE,CIPLA
NSE,COALINDIA
NSE,COLPAL
NSE,CONCOR
NSE,DABUR
NSE,DLF
NSE,DMART
NSE,DRREDDY
NSE,EICHERMOT
NSE,GAIL
NSE,GICRE
NSE,GODREJCP
NSE,GRASIM
NSE,HAVELLS
NSE,HCLTECH
NSE,HDFC
NSE,HDFCBANK
NSE,HDFCLIFE
NSE,HEROMOTOCO
NSE,HINDALCO
NSE,HINDPETRO
NSE,HINDUNILVR
NSE,HINDZINC
NSE,IBULHSGFIN
NSE,ICICIBANK
NSE,ICICIGI
NSE,ICICIPRULI
NSE,IDEA
NSE,INDIGO
NSE,INDUSINDBK
NSE,INFRATEL
NSE,INFY
NSE,IOC
NSE,ITC
NSE,JSWSTEEL
NSE,KOTAKBANK
NSE,L&TFH
NSE,LICHSGFIN
NSE,LT
NSE,LUPIN
NSE,M&M
NSE,MARICO
NSE,MARUTI
NSE,MCDOWELL-N
NSE,MOTHERSUMI
NSE,MRF
NSE,NHPC
NSE,NIACL
NSE,NMDC
NSE,NTPC
NSE,OFSS
NSE,OIL
NSE,ONGC
NSE,PEL
NSE,PETRONET
NSE,PGHH
NSE,PIDILITIND
NSE,POWERGRID
NSE,RELIANCE
NSE,SAIL
NSE,SBILIFE
NSE,SBIN
NSE,SHREECEM
NSE,SIEMENS
NSE,SRTRANSFIN
NSE,SUNPHARMA
NSE,SUNTV
NSE,TATAMOTORS
NSE,TATAMTRDVR
NSE,TATASTEEL
NSE,TCS
NSE,TECHM
NSE,TITAN
NSE,ULTRACEMCO
NSE,UPL
NSE,VEDL
NSE,WIPRO
NSE,YESBANK
NSE,ZEEL
